Lip,Li,Ld,Lb
1.137,1.169,3.694,1.374
1.248,1.095,2.999,1.314
1.115,1.187,3.033,1.703
1.117,1.091,3.223,1.6
1.429,1.184,3.412,1.648
1.16,1.12,2.615,1.111
1.159,1.252,2.721,1.195
1.146,1.164,3.087,1.445
1.213,1.131,3.398,1.524
1.08,1.172,3.181,1.308
1.313,1.2,3.413,1.624
1.367,1.514,3.456,1.651
1.099,1.034,3.145,1.417
1.09,1.068,3.527,1.887
1.426,1.358,3.326,1.983
1.426,1.216,3.213,1.733
1.429,1.348,3.184,1.705
1.288,1.157,3.57,1.674
1.297,1.384,3.825,1.806
0.95,0.833,3.406,1.524
1.337,1.057,2.921,1.909
1.04,1.342,3.11,1.525
1.395,1.171,3.187,1.401
1.407,1.152,3.752,1.697
1.317,1.113,3.745,1.613
1.515,1.526,3.781,1.566
1.217,1.009,3.437,1.524
1.053,1.092,3.765,1.326
1.182,1.213,3.12,1.565
1.097,0.882,2.736,1.26
1.401,1.244,3.23,1.56
1.219,1.291,3.126,1.723
1.081,1.319,3.704,1.819
1.152,1.182,3.3,1.64
1.407,1.013,3.098,1.655
1.292,1.17,3.812,1.362
1.228,1.19,3.769,1.407
1.095,1.295,3.202,1.295
1.243,1.185,3.149,1.874
1.219,1.144,3.093,1.733
1.401,1.348,3.553,1.496
1.337,1.131,3.316,1.844
1.026,1.138,3.416,1.444
1.157,1.147,3.76,2.134
1.243,1.065,3.066,1.818
1.23,2.079,2.718,1.263
1.168,1.281,3.425,1.613
1.573,1.148,3.676,1.406
1.146,1.157,3.229,1.278
1.137,1.281,3.523,1.361
1.157,0.835,3.322,1.755
1.026,0.883,3.08,1.421
1.407,1.608,3.682,1.619
0.95,0.718,3.303,1.423
1.137,1.188,3.274,1.514
1.081,0.987,3.631,1.601
1.21,1.078,3.098,1.784
1.23,1.22,2.857,1.441
1.152,1.156,3.417,1.592
1.293,1.141,3.255,1.64
0.964,0.903,3.389,1.506
1.38,1.045,2.88,1.725
1.187,1.116,3.274,1.924
1.148,1.059,3.905,1.915
1.299,1.251,3.074,1.514
1.168,1.128,3.366,1.473
1.21,1.417,3.615,1.94
1.23,1.253,3.372,1.584
1.075,1.012,3.997,1.483
1.08,1.052,2.992,1.202
1.225,1.283,3.835,1.283
1.143,1.055,4.914,1.707
0.964,0.966,3.519,1.509
1.299,0.999,2.912,1.397
1.095,1.253,3.925,1.432
1.171,1.54,3.62,1.782
1.094,1.052,3.599,1.639
1.094,1.045,3.425,1.784
1.245,1.148,3.21,1.761
1.245,1.064,3.634,1.722
0.881,0.974,3.351,1.585
1.086,1.079,3.729,1.97
0.995,1.051,3.331,1.669
1.187,1.165,3.187,1.882
1.095,1.08,3.302,1.605
0.881,0.887,3.525,1.615
1.148,1.049,3.78,1.967
1.128,1.055,3.517,1.547
1.411,1.311,2.697,1.532
1.095,1.023,3.638,1.487
1.431,1.533,3.075,1.319
1.049,1.073,3.406,1.704
1.431,1.39,2.887,1.596
1.236,1.104,3.624,1.613
1.07,1.12,3.719,2.013
1.325,1.252,2.671,1.576
1.04,1.096,3.359,1.357
1.09,1.065,3.198,1.707
1.104,1.012,3.554,1.745
1.055,1.139,3.735,1.568
1.104,1.033,3.176,1.809
1.209,1.113,2.598,1.488
1.055,0.969,3.192,1.45
1.2,1.136,2.836,1.625
1.07,0.942,3.391,1.793
1.037,0.791,3.268,1.578
1.573,1.389,3.653,1.918
1.086,1.032,3.363,1.727
1.148,1.207,2.891,1.604
1.511,1.373,3.402,1.877
1.329,1.246,2.93,1.514
1.329,1.194,2.962,1.476
0.956,1.065,3.309,1.712
1.101,1.149,3.543,1.642
1.21,1.269,2.998,1.401
0.812,0.934,3.17,1.523
0.833,1.044,3.314,1.686
0.944,1.132,3.624,1.679
1.037,0.887,3.16,1.637
0.944,0.848,3.492,1.328
1.236,1.098,3.435,1.557
1.131,1.089,3.33,1.698
1.209,1.181,2.993,1.286
1.131,0.837,3.414,1.45
1.097,1.187,3.571,1.369
1.101,0.883,3.243,1.429
1.314,1.103,2.854,1.446
1.511,1.165,3.557,1.616
1.068,1.151,3.494,1.823
1.334,1.071,3.162,1.636
1.12,1.161,2.552,1.393
1.319,0.974,3.688,1.801
1.514,1.373,3.267,1.498
1.152,1.022,4.07,1.683
1.2,1.311,3.566,1.571
1.319,0.854,3.598,1.716
1.514,1.359,3.226,1.795
1.352,1.269,3.309,1.674
1.325,1.052,3.252,1.543
1.187,1.056,3.153,1.434
1.303,1.165,3.185,1.346
1.068,0.921,3.382,1.439
1.334,1.296,3.477,1.581
1.342,1.089,2.737,1.499
0.986,1.065,3.12,1.276
0.812,0.872,3.146,1.426
1.358,1.262,3.671,1.639
1.152,0.891,3.536,1.784
1.411,1.18,3.079,1.494
1.156,1.336,3.8,1.575
1.147,0.988,3.275,1.79
1.164,1.243,3.955,1.63
1.295,1.096,3.232,1.569
1.138,1.072,3.181,1.709
1.325,1.399,3.731,1.832
1.187,1.001,2.882,1.41
1.113,1.086,3.458,1.641
0.882,0.881,2.441,1.241
1.128,1.093,3.282,1.259
1.002,0.946,3.427,1.466
1.148,1.127,2.886,1.466
1.134,1.075,3.389,1.484
1.128,1.232,3.148,1.37
0.718,0.764,2.94,1.449
1.172,1.073,3.113,1.613
0.987,0.794,3.391,1.759
1.358,1.161,3.46,1.518
0.956,0.998,3.347,1.554
1.352,1.222,3.556,1.747
1.107,1.044,3.034,1.228
2.079,1.091,3.039,1.287
1.009,1.051,3.547,1.792
0.882,0.852,2.729,1.258
1.002,0.939,3.823,1.561
1.17,1.682,3.73,1.836
1.17,1.016,3.539,1.798
1.295,1.237,3.052,1.446
1.253,1.171,3.699,1.907
0.901,0.902,3.624,1.418
1.252,1.34,3.499,1.45
1.147,0.908,3.961,1.784
1.185,1.021,2.914,1.35
1.314,1.256,3.482,1.501
2.079,1.08,3.076,1.32
1.342,1.239,3.204,1.448
0.903,0.821,3.11,1.524
1.156,1.277,3.954,1.589
1.065,1.151,3.006,1.565
0.718,0.779,3.689,1.672
0.835,0.759,2.939,1.463
0.974,1.148,2.701,1.623
1.281,1.147,3.648,1.758
1.164,1.053,3.194,1.264
1.079,1.051,3.697,1.737
1.012,1.131,3.721,1.993
1.138,0.822,3.171,1.531
1.188,1.07,3.395,1.582
1.185,1.146,3.527,1.598
1.079,0.961,3.645,1.822
1.216,1.177,3.58,1.412
1.216,1.252,3.916,1.614
0.903,0.961,3.773,1.651
0.901,0.852,3.324,1.335
1.213,1.033,3.42,1.424
0.966,0.928,3.217,1.693
1.012,1.018,3.93,1.846
0.966,1.004,3.43,1.613
1.157,1.034,3.17,1.534
1.182,1.103,3.302,1.327
1.172,1.148,3.509,1.39
1.065,0.972,3.63,1.383
0.887,0.878,3.275,1.66
1.182,0.838,3.863,1.326
0.883,0.825,3.125,1.546
1.291,0.999,3.678,1.458
0.986,0.968,3.383,1.151
1.283,1.176,3.374,1.865
0.987,0.758,4.187,1.666
2.1,2.184,3.229,1.532
2.184,2.104,3.001,1.704
2.1,2.036,2.781,1.453
2.184,2.201,3.183,1.526
1.567,1.711,2.721,1.259
1.567,1.902,2.976,1.255
2.053,1.8,2.708,1.488
1.918,1.95,2.812,1.612
1.825,2.039,3.021,1.439
1.825,1.941,2.873,1.363
1.996,1.652,2.657,1.197
2.171,1.812,2.795,1.752
2.171,1.698,2.648,1.56
2.177,2.011,3.127,1.739
1.629,2.141,2.823,1.469
1.629,1.519,2.539,1.448
2.046,2.353,3.156,1.758
2.353,2.407,2.876,1.754
2.046,1.674,2.839,1.526
2.353,1.88,2.816,1.416
2.141,2.331,3.52,1.734
2.331,2.216,3.169,1.875
2.141,2.054,3.203,1.369
1.465,1.488,2.638,1.282
1.815,1.74,2.634,1.456
1.575,1.611,2.687,1.349
1.465,1.71,2.818,1.233
2.039,1.904,2.851,1.641
1.904,1.894,2.961,1.58
1.892,1.758,2.816,1.237
2.039,1.566,2.745,1.407
1.566,1.76,2.963,1.409
1.546,1.992,3.208,1.366
1.992,1.64,2.576,1.565
1.483,1.572,2.557,1.49
1.344,1.678,2.612,1.342
1.454,1.474,2.476,1.31
1.474,1.684,3.248,1.188
1.483,1.34,2.537,1.258
1.344,1.439,2.481,1.2
1.992,1.689,2.603,1.601
2.02,2.388,3.378,1.664
2.02,1.67,2.586,1.354
1.614,1.489,2.442,1.291
1.614,1.496,2.574,1.215
2.025,1.993,2.881,1.852
1.913,1.926,3.14,1.554
1.913,1.675,2.725,1.604
1.675,1.759,2.93,1.234
2.025,1.888,3.149,1.646
2.154,2.054,3.112,1.697
2.154,1.748,2.769,1.493
1.708,1.966,3.203,1.541
1.966,2.1,3.372,1.843
1.672,1.838,2.481,1.476
1.708,1.63,2.663,1.238
1.672,1.749,2.735,1.377
1.949,2.211,3.166,1.667
2.211,2.437,3.342,1.625
1.949,1.849,3.099,1.083
1.968,1.593,2.518,1.263
1.589,1.8,2.543,1.574
1.723,1.597,2.655,1.55
1.443,1.445,2.51,1.28
1.443,1.849,2.938,1.188
1.723,1.688,2.655,1.647
1.688,1.651,2.356,1.439
1.597,1.595,2.981,1.281
1.881,1.882,2.496,1.463
1.882,1.574,2.006,1.383
1.54,1.763,2.909,1.273
1.706,1.826,2.506,1.275
1.711,1.965,2.725,1.383
1.503,1.42,2.499,1.184
1.402,1.327,2.541,1.205
1.327,1.697,2.791,1.286
1.402,1.526,2.681,1.278
1.642,1.566,2.563,1.228
1.731,1.737,2.771,1.303
2.014,1.935,2.832,1.619
1.792,1.561,2.589,1.398
2.332,1.699,2.695,1.711
2.332,1.607,2.639,1.509
1.699,1.823,2.537,1.261
2.168,1.96,3.006,1.682
2.168,1.583,2.404,1.402
2.328,2.082,3.155,1.802
1.894,1.522,2.635,1.417
2.328,1.829,2.875,1.631
1.58,1.443,2.978,1.289
1.43,1.456,2.318,1.294
1.741,1.855,3.126,1.584
2.051,1.658,2.306,1.492
1.395,1.511,2.565,1.166
1.511,1.976,3.359,1.34
1.741,1.713,2.726,1.459
1.97,2.131,3.502,1.708
1.719,1.792,3.345,1.3
1.97,1.821,3.178,1.327
1.985,1.667,3.158,1.586
1.985,1.471,2.47,1.394
1.471,1.539,2.617,1.264
1.569,1.334,2.59,1.201
1.471,1.433,2.502,1.206
2.007,2.285,3.269,1.647
2.285,1.995,2.962,1.746
2.007,1.836,3.32,1.35
1.436,1.572,2.673,1.214
1.436,1.378,2.309,1.231
1.656,1.803,2.779,1.355
1.656,1.922,3.885,1.441
2.191,2.319,3.191,1.673
2.018,2.098,2.485,1.646
2.165,1.529,2.607,1.43
1.935,1.864,2.993,1.65
1.653,1.681,2.857,1.389
1.699,1.707,2.761,1.557
1.699,1.856,2.68,1.368
2.1,2.118,3.189,1.92
1.778,1.599,2.45,1.248
1.633,1.898,2.829,1.335
1.898,1.704,2.562,1.505
1.66,1.506,2.695,1.303
1.633,1.619,2.448,1.357
1.619,1.799,3.189,1.27
1.75,1.985,2.967,1.495
1.985,1.751,2.833,1.605
1.511,1.403,2.615,1.313
1.55,1.532,2.579,1.306
1.502,1.504,2.649,1.256
1.75,1.661,2.827,1.423
1.661,1.472,2.762,1.411
1.55,1.475,2.53,1.31
1.661,1.597,2.664,1.439
1.985,1.581,2.566,1.362
1.672,1.806,2.944,1.437
1.479,1.425,2.134,1.224
1.479,1.458,2.718,1.144
1.672,1.636,2.477,1.2
1.669,1.551,2.282,1.477
1.905,1.986,3.217,1.549
1.41,1.553,2.47,1.166
1.905,1.827,2.242,1.172
2.031,1.969,2.857,1.739
1.61,1.531,2.859,1.217
1.992,1.663,2.817,1.518
2.031,1.7,2.599,1.294
1.875,2.262,3.469,1.513
1.882,1.724,2.729,1.359
1.875,1.687,2.418,1.293
1.882,2.049,2.909,1.525
1.462,1.781,3.253,1.361
1.462,1.511,2.504,1.221
1.786,1.933,2.921,1.492
1.81,1.99,3.098,1.535
1.436,2.094,3.015,1.058
1.838,2.099,3.172,1.613
1.838,2.236,3.368,1.241
1.389,1.477,2.522,1.119
2.143,2.544,3.211,1.407
2.3,2.329,3.182,1.595
1.525,2.011,3.062,1.217
1.525,1.745,2.868,1.285
2.3,1.838,2.772,1.493
2.586,2.273,3.053,1.93
2.586,2.075,2.96,1.736
2.075,2.085,3.147,1.383
2.273,1.905,2.886,1.482
1.535,1.628,2.512,1.343
1.628,1.804,2.779,1.376
1.302,1.444,2.472,1.138
1.711,2.004,3.459,1.697
2.004,2.177,3.597,1.743
2.177,1.999,3.551,1.816
1.999,2.134,3.475,2.009
1.976,2.15,3.524,1.887
2.15,1.933,3.837,1.834
1.711,2.095,3.635,1.526
2.095,1.831,3.29,1.72
1.976,2.264,3.338,1.97
2.004,2.125,3.545,1.716
2.095,1.855,3.026,1.915
2.177,2.302,3.82,1.781
2.125,1.766,3.17,1.768
1.544,1.67,2.883,1.455
1.866,2.332,3.618,1.397
2.038,2.089,4.263,2.168
1.866,2.382,3.992,1.773
2.038,1.879,3.202,2.063
1.544,1.546,2.89,1.619
1.646,1.712,3.035,1.318
1.712,1.766,3.08,1.374
1.766,1.484,2.802,1.401
1.484,1.512,3.055,1.114
1.768,2.041,3.291,1.629
1.816,1.932,3.292,1.532
1.646,1.78,2.837,1.583
1.78,1.986,3.115,1.432
1.816,1.664,2.897,1.541
1.78,1.745,2.973,1.391
1.712,2.036,3.885,1.655
2.036,1.832,2.995,1.969
1.832,1.889,4.169,1.506
1.766,1.821,3.04,1.679
1.821,2.232,3.8,1.59
2.036,1.875,3.166,1.915
1.821,2.149,3.708,1.45
1.484,1.967,3.256,1.688
1.865,1.756,3.014,1.722
1.756,1.873,3.231,1.305
1.873,1.806,3.002,1.509
1.85,1.847,3.317,1.703
1.865,2.025,3.448,1.889
2.025,2.203,3.616,1.826
2.203,2.385,3.747,1.965
2.385,2.151,3.063,1.901
1.756,1.927,3.412,1.709
1.927,2.11,3.63,1.614
2.025,1.837,3.086,1.619
1.927,2.445,3.906,1.821
1.809,1.996,3.552,1.464
1.996,2.085,3.392,1.778
2.085,2.017,3.591,1.779
2.017,2.015,3.771,1.736
2.015,2.154,3.749,1.886
2.096,1.978,3.499,1.656
1.809,2.135,3.446,1.753
2.135,2.148,3.441,1.793
2.096,2.045,3.41,1.767
1.996,2.015,3.456,1.774
2.015,2.231,3.8,1.754
2.085,1.68,3.478,1.614
1.68,1.895,3.526,1.728
2.017,2.181,3.783,1.881
2.181,2.337,3.688,2.009
1.68,2.076,3.148,1.75
2.181,1.958,3.515,1.775
2.015,2.241,3.343,1.886
1.772,1.757,3.266,1.636
1.757,1.832,3.65,1.552
1.832,1.765,3.432,1.77
1.757,2.135,4.143,1.714
2.135,1.776,3.5,1.863
1.832,1.969,3.56,1.876
2.924,3.039,4.316,2.597
3.039,2.774,4.28,2.526
1.855,1.906,3.55,1.693
1.906,1.981,3.031,1.73
2.225,2.281,3.447,1.884
2.281,1.879,3.108,1.704
1.879,1.806,2.911,1.616
1.855,1.967,3.222,1.753
1.906,2.044,3.706,1.82
2.225,2.065,3.661,1.652
2.281,1.931,3.468,1.743
3.039,2.141,3.32,1.813
2.141,2.15,3.522,1.687
2.15,2.069,3.595,1.824
2.141,2.033,3.652,1.606
