Pos,Channel,Cell,MothCell,BirthFr,DivFr,Lb,Lri1,Lri2,Lri3,Lrt,Ln,Lc,Ld,Tri1,Tri2,Tri3,Trt,Tn,Tc,Td
1,3,1,1,104,130,2.174,1.614,3.054,3.054,2.461,3.054,3.093,3.756,-52,60.0,60.0,28,60,68,104
1,3,1,1,130,161,2.081,1.692,2.941,2.941,2.281,2.78,2.964,3.468,-44,88.0,88.0,32,64,76,124
1,3,1,1,161,191,1.996,1.721,2.84,2.845,2.362,2.84,2.899,3.808,-24,76.0,80.0,44,76,84,120
1,3,1,1,192,213,2.21,1.628,3.069,3.233,2.38,2.746,2.915,3.581,-52,64.0,68.0,20,44,52,84
1,3,1,1,213,241,2.015,1.819,3.201,3.07,2.707,2.809,2.989,3.583,-16,96.0,92.0,68,72,84,112
1,3,1,1,242,275,1.878,1.596,3.416,3.416,2.469,2.849,2.908,3.586,-24,108.0,108.0,64,96,100,132
1,3,1,1,276,299,1.85,1.775,3.193,3.193,2.588,2.886,2.886,3.73,-28,72.0,72.0,36,52,52,92
1,3,2,2,19,58,1.682,1.301,2.464,2.464,2.028,2.819,2.93,4.429,-36,92.0,92.0,48,116,124,156
1,3,9,2,19,46,1.837,1.467,2.336,2.336,2.11,2.274,2.336,3.678,-28,72.0,72.0,44,64,72,108
1,3,11,1,19,45,1.848,1.534,2.746,2.746,2.305,2.746,2.835,3.54,-20,68.0,68.0,44,68,72,104
1,3,11,11,46,71,1.769,1.316,2.489,2.613,2.336,2.489,2.613,3.64,-40,52.0,56.0,36,52,56,100
1,3,14,11,45,73,1.844,1.476,2.595,2.595,2.145,2.856,2.771,3.15,-32,72.0,72.0,36,76,80,112
1,3,16,1,40,71,1.658,1.42,2.544,2.544,2.109,2.544,2.626,3.502,-12,88.0,88.0,60,88,92,124
1,3,16,16,72,91,1.869,1.189,3.053,3.041,2.333,2.746,2.774,3.153,-48,64.0,72.0,28,44,48,76
1,3,18,16,71,94,1.741,1.264,2.857,2.857,2.274,2.47,2.857,3.218,-36,72.0,72.0,40,56,72,92
1,3,19,1,74,108,1.729,1.364,2.71,2.71,2.06,2.635,2.917,3.593,-48,92.0,92.0,40,88,100,136
