Pos,Channel,Cell,MothCell,BirthFr,DivFr,Lb,Lri1,Lri2,Lri3,Lrt,Ln,Lc,Ld,Tri1,Tri2,Tri3,Trt,Tn,Tc,Td
3,2,23,13,99,127,1.645,1.308,3.402,3.402,2.136,2.369,2.768,3.032,-32,136.0,136.0,48,68,92,112
3,3,1,1,59,94,2.145,1.319,2.611,2.707,1.765,2.475,2.845,3.481,-132,64.0,72.0,-48,48,84,140
3,3,1,1,96,127,1.871,1.284,2.619,2.541,1.85,2.691,2.851,3.608,-88,76.0,72.0,-4,80,88,124
3,3,3,3,51,91,1.634,1.551,3.15,3.345,2.325,2.381,2.501,3.044,-8,168.0,180.0,96,104,116,160
3,3,4,4,32,61,1.598,1.509,3.322,3.637,2.379,2.574,2.861,3.322,-8,116.0,128.0,68,80,92,116
3,3,19,1,95,132,1.669,1.354,2.456,2.456,1.776,2.611,3.122,3.881,-72,84.0,84.0,16,92,120,148
3,4,2,2,36,71,1.834,1.39,2.721,2.777,1.973,2.396,2.456,3.221,-60,112.0,116.0,20,84,92,140
3,4,2,2,71,100,1.661,1.361,2.986,2.986,2.122,2.217,2.432,2.852,-28,124.0,124.0,48,60,80,116
3,4,3,3,16,54,1.61,1.61,3.355,3.401,2.397,2.535,2.62,3.322,0,160.0,164.0,104,112,116,152
3,4,14,2,35,66,1.724,1.429,3.373,3.079,1.849,2.109,2.286,2.847,-48,160.0,144.0,20,56,76,124
3,4,17,13,63,123,1.564,1.643,3.214,3.214,2.279,2.465,2.588,3.192,8,244.0,244.0,116,156,172,240
3,4,20,2,72,107,1.605,1.389,2.535,2.473,1.96,2.393,2.734,3.333,-28,96.0,92.0,40,84,108,140
3,5,1,1,10,42,1.62,1.437,2.966,3.304,2.189,2.371,2.415,2.844,-20,140.0,176.0,68,84,88,128
3,5,1,1,42,85,1.434,1.46,3.232,3.232,2.107,2.079,2.265,2.911,8,196.0,196.0,104,100,124,172
3,5,1,1,85,135,1.524,1.688,,,2.284,2.476,2.58,3.08,24,,,116,136,148,200
3,5,2,2,42,78,1.692,1.477,2.756,2.894,2.178,2.482,2.596,3.455,-32,104.0,116.0,60,84,92,144
3,5,10,1,10,45,1.609,1.505,3.18,3.18,2.186,2.544,2.681,3.18,-16,140.0,140.0,68,96,104,140
3,5,10,10,45,80,1.713,1.713,3.537,3.433,2.914,2.818,3.102,3.762,0,132.0,128.0,100,92,112,140
3,5,10,10,81,113,1.904,1.769,3.329,3.329,2.598,2.728,2.893,3.516,-12,120.0,120.0,64,76,92,128
3,5,15,1,42,87,1.41,1.623,3.107,3.132,2.337,2.472,2.551,3.132,48,176.0,180.0,124,132,140,180
3,5,15,15,87,122,1.462,1.441,3.378,3.3,2.202,2.171,2.303,2.911,-4,176.0,172.0,88,84,100,140
