Pos	Channel	Cell	MothCell	BirthFr	DivFr	Td	Tri1	Tri2	Tri3	Trt	Tn	Tc	Lb	Lri1	Lri2	Lri3	Lrt	Ln	Lc	Ld	Time
7	5	3	3	38	71	132	0	104	108	84	88	88	1,315	1,315	2,688	2,761	2,323	2,617	2,617	3,411	-76
9	3	16	2	36	71	140	-28	112	124	52	100	104	1,128	1,047	1,808	2,237	1,526	1,838	1,805	2,457	-76
10	1	1	1	33	71	152	-40	72	88	52	84	100	1,426	1,184	2,135	2,329	1,861	2,24	2,469	3,373	-76
1	2	14	1	36	71	140	-32	128	100	68	72	80	1,382	1,238	2,617	2,216	1,846	1,928	2,053	2,781	-76
6	5	17	1	33	71	152	-20	140	136	100	84	108	1,18	1,174	2,686	2,589	2,052	1,988	2,172	3,046	-76
6	5	2	2	32	71	156	8	160	160	96	96	108	1,076	1,086	2,924	2,924	1,937	1,937	2,091	2,889	-76
9	1	15	2	31	72	164	-16	128	132	100	104	108	1,258	1,065	2,118	2,177	1,96	1,944	1,942	2,804	-72
8	4	3	3	37	72	140	-40	120	124	60	96	100	1,297	1,089	2,159	2,268	1,499	1,807	1,889	2,723	-72
1	4	11	2	28	72	176	24	132	132	112	112	116	1,468	1,638	3,16	3,16	2,81	2,81	2,859	3,996	-72
4	1	1	1	37	72	140	-24	112	120	84	80	88	1,297	1,2	2,619	2,742	2,204	2,161	2,293	3,168	-72
3	3	14	1	40	72	128	-8	152	144	76	72	84	1,189	1,286	3,808	3,767	1,782	1,808	2,012	2,597	-72
1	1	2	2	42	73	124	-32	92	80	48	52	52	1,53	1,284	2,503	2,281	1,878	1,911	1,911	3,057	-68
2	3	1	1	35	74	156	-8	144	148	84	104	104	1,226	1,145	2,632	2,688	1,923	2,142	2,142	2,832	-64
9	3	1	1	43	74	124	-56	108	104	52	48	60	1,355	0,981	2,562	2,534	1,861	1,778	1,971	2,877	-64
10	1	14	1	33	74	164	-40	80	84	48	72	88	1,456	1,093	2,217	2,297	1,799	2,101	2,443	3,552	-64
6	2	12	1	27	75	192	4	236	236	120	140	144	1,154	1,421	2,74	2,74	1,643	1,71	1,928	2,438	-60
7	5	2	2	43	75	128	-48	100	92	56	64	72	1,45	1,115	2,525	2,334	1,851	1,977	2,098	3,085	-60
1	4	2	2	26	75	196	12	188	188	104	128	140	1,408	1,419	2,555	2,555	2,32	2,304	2,3	2,684	-60
4	3	13	1	31	75	176	-72	84	80	40	92	108	1,616	1,104	2,136	2,075	1,803	2,258	2,452	3,48	-60
3	1	13	2	35	75	160	16	136	132	92	96	104	1,425	1,488	2,437	2,449	1,992	2,023	2,136	2,73	-60
4	3	1	1	31	75	176	-64	92	92	64	96	108	1,322	1,058	1,951	1,951	1,775	1,98	2,158	2,928	-60
1	1	16	2	42	75	132	-44	72	76	48	60	64	1,435	1,124	2,126	1,845	1,811	1,816	1,865	2,897	-60
8	4	1	1	40	76	144	-32	84	80	44	84	80	1,44	1,147	2,362	2,311	1,895	2,362	2,311	3,39	-56
8	1	15	1	32	76	176	16	180	180	112	132	132	1,084	1,082	2,416	2,416	1,551	2,072	2,072	2,815	-56
5	2	2	2	37	76	156	-64	64	72	32	72	84	1,403	1,114	1,939	2,034	1,623	2,034	2,215	3,531	-56
4	1	13	1	36	76	160	-24	128	128	72	92	100	1,35	1,209	2,624	2,624	1,978	2,173	2,269	3,295	-56
5	4	2	2	31	76	180	4	212	216	104	112	108	1,534	1,422	2,923	2,845	2,061	2,147	2,109	2,617	-56
4	3	2	2	50	76	104	-44	84	68	40	52	56	1,436	1,132	2,336	2,09	1,727	1,831	1,908	2,798	-56
3	3	1	1	39	76	148	-12	112	124	80	84	92	1,23	1,085	2,155	2,378	1,791	1,83	1,942	2,812	-56
7	5	16	2	45	77	128	-64	64	68	32	72	64	1,804	1,239	2,505	2,457	1,923	2,522	2,505	3,642	-52
1	2	15	2	41	77	144	-68	72	72	40	88	84	1,623	1,107	2,184	2,184	1,901	2,48	2,394	3,719	-52
1	2	1	1	35	77	168	-40	124	124	92	96	96	1,206	0,943	2,25	2,25	1,883	1,909	1,909	3,022	-52
5	3	17	17	45	77	128	-8	96	100	72	76	84	1,352	1,232	2,551	2,588	2,2	2,241	2,415	3,14	-52
2	1	17	2	40	77	148	-12	108	108	68	76	88	1,548	1,429	2,545	2,545	2,021	1,975	2,274	3,236	-52
2	3	2	2	38	77	156	4	180	164	96	104	104	1,315	1,199	2,707	2,554	1,845	2,04	2,04	2,744	-52
1	2	2	2	41	78	148	-72	44	44	20	76	84	1,556	1,085	1,91	1,91	1,648	2,278	2,435	3,326	-48
6	1	2	2	45	78	132	-12	112	108	72	76	80	1,336	1,234	2,833	2,669	1,793	2,124	2,3	3,371	-48
5	2	12	2	37	78	164	-68	88	80	36	60	76	1,531	1,048	2,254	2,151	1,848	1,98	2,075	3,507	-48
5	3	19	17	45	78	132	-20	112	112	76	72	76	1,29	1,093	2,411	2,411	1,924	1,445	1,924	3,034	-48
5	3	21	1	53	78	100	-56	60	60	28	48	56	1,487	1,139	2,321	2,321	1,835	2,124	2,25	3,044	-48
5	4	12	2	30	78	192	16	244	236	112	112	112	1,283	1,195	3,382	3,224	1,932	1,932	1,932	2,678	-48
7	4	2	2	36	79	172	28	156	160	100	108	108	1,253	1,325	2,475	2,61	1,688	1,752	1,752	2,698	-44
8	1	1	1	33	79	184	24	168	168	104	136	132	1,224	1,317	2,689	2,689	1,713	2,22	2,168	2,736	-44
2	3	16	2	38	80	168	32	204	204	108	108	120	1,202	1,27	2,572	2,572	1,872	1,872	2,032	2,573	-40
3	5	11	11	52	80	112	-24	136	124	56	68	72	1,382	1,289	2,641	2,556	1,689	1,792	1,939	2,475	-40
7	2	2	2	47	81	136	-36	92	96	64	68	72	1,564	1,316	2,351	2,413	1,958	1,95	2,084	3,097	-36
6	3	9	9	54	81	108	-8	128	124	52	64	64	1,518	1,362	2,671	2,654	1,77	1,936	1,936	2,535	-36
2	1	18	14	48	81	132	-8	144	128	80	88	88	1,425	1,32	3,084	2,794	2,14	2,232	2,232	2,847	-36
2	3	15	1	35	81	184	-16	192	180	100	128	132	1,137	1,17	2,838	2,768	1,851	2,194	2,152	2,737	-36
2	1	2	2	40	81	164	-8	168	172	96	120	116	1,33	1,245	2,938	2,855	1,982	2,259	2,203	2,784	-36
3	1	2	2	35	81	184	16	184	176	100	100	108	1,371	1,39	2,754	2,694	1,937	1,937	2,014	2,754	-36
2	2	18	1	52	82	120	-28	100	104	64	56	68	1,523	1,362	2,718	2,764	2,145	2,074	2,212	2,994	-32
1	1	3	3	57	82	100	-48	72	72	36	60	64	1,343	1,134	2,429	2,429	1,819	2,258	2,253	3,325	-32
5	1	13	1	48	82	136	-16	96	100	48	80	80	1,285	1,149	2,158	2,187	1,671	1,968	1,968	2,563	-32
7	5	1	1	39	82	172	12	176	176	100	104	112	1,123	1,197	2,625	2,625	1,749	1,798	1,905	2,664	-32
8	4	2	2	49	82	132	-12	132	128	56	76	80	1,511	1,288	2,627	2,557	1,528	1,673	1,652	2,627	-32
2	2	16	13	48	83	140	-20	152	148	76	88	88	1,265	1,149	2,849	2,9	1,895	2,141	2,141	2,622	-28
5	2	15	1	31	83	208	-4	188	196	108	136	140	1,22	1,26	2,313	2,355	1,685	1,945	1,918	2,499	-28
9	3	17	1	43	83	160	-40	108	108	60	92	104	1,323	1,145	2,169	2,169	1,639	1,988	2,092	2,858	-28
7	2	14	1	54	83	116	-48	92	92	32	60	36	1,395	1,035	2,38	2,38	1,6	1,936	1,703	2,726	-28
5	1	12	10	44	83	156	8	168	168	108	116	124	1,089	1,084	2,588	2,588	1,956	2,03	2,116	2,604	-28
6	3	14	9	54	83	116	-16	132	132	64	76	72	1,333	1,1	2,422	2,422	1,583	1,8	1,765	2,407	-28
5	3	1	1	54	83	116	-60	68	68	4	52	64	1,438	0,99	2,254	2,254	1,472	2,019	2,187	3,235	-28
6	5	1	1	34	84	200	-12	152	148	104	112	124	1,045	0,988	3,95	3,855	1,757	1,804	1,984	5,275	-24
2	4	12	12	55	84	116	-48	84	76	36	64	72	1,494	1,247	2,394	2,213	1,697	2,025	2,197	2,867	-24
10	2	3	3	54	84	120	-48	64	72	44	64	72	1,754	1,347	2,334	2,452	2,115	2,334	2,452	3,376	-24
7	2	1	1	53	84	124	-36	136	132	44	68	64	1,294	1,023	2,634	2,586	1,621	1,848	1,813	2,541	-24
2	4	17	1	50	85	140	-40	100	100	52	72	80	1,298	1,104	2,274	2,274	1,602	1,86	1,945	3,194	-20
8	1	2	2	33	85	208	36	272	228	148	172	176	1,105	1,184	2,889	2,499	1,926	2,136	2,168	2,615	-20
2	1	1	1	50	85	140	-8	140	148	72	64	68	1,089	1,071	2,386	2,538	1,647	1,563	1,597	2,386	-20
2	4	1	1	50	85	140	-32	84	80	64	88	100	1,367	1,016	2,426	2,365	2,063	2,532	2,676	3,536	-20
10	2	13	2	35	85	200	32	244	244	112	140	160	1,193	1,289	3,353	3,353	1,847	2,15	2,29	2,472	-20
1	3	12	12	58	86	112	-68	72	72	8	48	48	1,512	0,99	2,265	2,265	1,565	2,018	2,018	2,861	-16
5	1	1	1	48	86	152	-12	144	152	84	100	108	1,087	1,122	2,263	2,349	1,647	1,809	1,895	2,349	-16
3	4	17	11	65	86	84	-60	92	88	36	44	40	1,495	1,213	2,74	2,647	2,024	2,112	2,071	2,697	-16
1	4	10	10	57	86	116	-32	92	92	56	60	64	1,467	1,313	2,31	2,31	1,922	1,896	1,931	2,639	-16
7	5	17	1	39	87	192	4	176	176	100	124	140	1,126	1,145	2,483	2,483	1,69	1,865	1,945	2,822	-12
