Pos,Channel,Cell,MothCell,BirthFr,DivFr,Lb,Lri1,Lri2,Lri3,Lrt,Ln,Lc,Ld,Tri1,Tri2,Tri3,Trt,Tn,Tc,Td
12,3,1,1,34,100,1.474,1.632,,,2.076,2.12,2.122,2.447,28.0,,,160,184,192,264
12,3,15,1,34,90,1.023,1.097,2.411,2.595,1.877,1.897,2.05,2.493,52.0,220.0,228.0,168,176,188,224
12,3,15,15,93,136,1.607,1.205,2.467,2.467,1.885,2.185,2.185,2.612,-16.0,216.0,216.0,76,124,124,172
12,3,16,1,99,203,1.369,1.542,3.045,3.045,2.633,2.826,2.715,3.481,156.0,380.0,380.0,328,352,336,416
12,4,2,2,36,115,1.666,1.478,2.427,2.427,1.986,2.154,2.179,3.028,-8.0,276.0,276.0,184,244,252,316
12,5,1,1,33,96,1.425,1.267,3.087,2.837,2.259,2.455,2.535,3.087,-28.0,252.0,228.0,184,200,208,252
12,5,1,1,96,148,1.356,1.356,,2.292,1.587,1.849,2.094,2.213,0.0,,232.0,96,148,160,208
12,5,2,2,41,98,1.538,1.633,3.387,3.218,2.303,2.597,2.637,3.079,20.0,256.0,236.0,128,172,180,228
12,5,2,2,98,160,1.589,1.734,,,2.375,2.399,2.696,2.727,28.0,,,160,164,204,248
12,5,3,3,41,96,1.635,1.704,3.036,3.036,2.408,2.491,2.7,3.007,20.0,224.0,224.0,132,156,172,220
12,5,4,4,47,77,1.619,1.703,,,2.199,2.139,2.201,2.642,16.0,,,80,92,100,120
12,5,5,5,23,47,1.99,1.676,,,2.219,2.558,3.091,3.384,-32.0,,,32,56,72,96
12,5,14,1,34,87,1.434,1.677,,,2.247,2.422,2.467,3.05,52.0,,,144,160,164,212
12,5,14,14,86,160,1.64,1.678,,,2.54,2.852,2.892,3.085,52.0,,,184,240,244,296
12,5,15,2,41,84,1.639,1.695,3.061,,2.081,2.248,2.287,2.835,24.0,208.0,,88,108,116,172
12,5,20,15,86,129,1.618,1.67,,2.654,2.324,2.452,2.324,3.046,16.0,,188.0,128,140,128,172
12,5,24,1,96,149,1.731,1.572,,,2.391,2.502,2.719,3.052,-24.0,,,100,116,156,212
12,5,25,2,97,153,1.467,1.49,,,2.207,2.275,2.43,3.117,4.0,,,156,176,188,224
13,2,1,1,29,74,0.955,1.069,,,2.593,2.868,2.919,3.504,32.0,,,108,136,148,180
13,2,1,1,74,158,1.354,1.247,2.216,2.283,1.585,2.01,2.019,2.283,92.0,376.0,360.0,208,272,292,336
