Pos,Channel,Cell,MothCell,BirthFr,DivFr,Lb,Lri1,Lri2,Lri3,Lrt,Ln,Lc,Ld,Tri1,Tri2,Tri3,Trt,Tn,Tc,Td
4,1,10,1,26,114,1.383,1.913,3.401,3.401,2.433,2.604,2.78,3.179,480,990.0,990.0,680,740,780,880
4,1,10,10,113,212,1.554,1.926,3.601,3.323,2.258,2.619,2.663,3.14,460,1250.0,1160.0,670,840,850,990
4,1,15,10,113,154,1.604,1.675,3.587,3.461,2.112,2.57,2.529,2.725,100,730.0,680.0,290,370,360,410
4,1,15,15,155,230,1.234,1.759,,,2.107,2.537,2.506,2.93,310,,,510,670,660,750
4,1,17,1,152,225,1.646,1.888,,,2.108,2.411,2.575,3.149,150,,,280,470,530,730
4,2,1,1,70,225,1.801,2.481,3.897,,2.903,3.088,3.174,3.725,790,1670.0,,1110,1270,1310,1550
4,2,2,2,44,121,1.433,1.74,,,2.106,2.362,2.427,2.805,320,,,520,630,650,770
4,2,3,3,24,100,1.365,1.901,3.865,3.498,2.267,2.366,2.506,2.856,350,1380.0,1220.0,550,580,640,760
4,2,10,3,24,80,1.398,1.507,,,1.953,2.326,2.367,2.643,120,,,310,440,450,560
4,2,12,2,45,160,1.324,1.716,,3.637,2.061,2.331,2.519,2.769,510,,1600.0,710,950,1030,1150
4,2,14,1,67,157,1.575,1.899,,,2.178,2.538,2.514,2.908,400,,,590,770,760,900
4,3,1,1,73,139,1.891,2.154,3.918,3.732,2.512,2.73,2.853,3.19,280,860.0,810.0,460,540,580,660
4,3,1,1,139,188,1.697,2.054,4.434,3.78,2.345,2.475,2.71,3.112,190,910.0,740.0,300,340,390,490
4,3,2,2,80,148,1.498,1.883,3.353,3.243,2.161,2.221,2.39,2.748,340,1080.0,1000.0,500,540,600,680
4,3,3,3,74,107,1.619,1.745,3.13,,2.068,2.075,2.241,2.495,80,660.0,,210,220,260,330
4,3,4,4,31,96,1.547,1.908,,,2.265,2.637,2.766,2.89,310,,,460,510,570,650
4,3,12,1,74,178,1.518,1.879,,,2.291,2.389,2.58,3.054,550,,,780,840,940,1040
4,3,13,3,74,124,1.469,1.408,,,2.219,2.314,2.371,2.749,130,,,330,420,430,500
4,3,18,1,139,200,1.493,1.748,3.584,,2.234,2.324,2.508,2.769,150,930.0,,390,450,510,610
4,5,1,1,16,75,1.495,1.708,3.599,3.587,2.097,2.305,2.494,2.779,210,960.0,950.0,390,460,510,590
4,5,1,1,75,169,1.541,1.966,3.807,3.677,2.673,2.85,2.969,3.203,370,1080.0,1010.0,680,770,820,940
4,5,1,1,168,229,1.843,2.1,,,2.679,3.075,3.105,3.372,140,,,380,530,540,610
4,5,10,1,16,88,1.396,1.672,3.487,3.698,2.238,2.335,2.462,2.853,250,1040.0,1120.0,550,580,610,720
4,5,10,10,88,144,1.476,1.838,,,2.007,2.05,2.284,2.481,320,,,420,460,500,560
4,5,13,3,52,122,1.585,1.925,,,2.318,2.468,2.846,3.021,250,,,520,550,630,700
4,5,14,1,75,141,1.238,1.63,,,2.247,2.34,2.474,2.663,360,,,500,520,560,660
4,5,15,10,88,164,1.377,1.749,,,2.371,2.347,2.551,2.735,390,,,600,650,700,760
5,1,1,1,13,65,1.672,1.949,4.223,4.273,2.391,2.391,2.569,2.749,220,930.0,990.0,390,390,460,520
5,1,1,1,65,145,1.667,2.211,4.068,,2.613,2.774,2.965,3.166,390,1290.0,,630,680,750,800
5,1,1,1,145,223,1.625,2.437,,,2.869,2.992,2.992,3.342,480,,,680,710,710,780
5,1,6,1,12,61,1.231,1.614,,,1.907,2.405,2.388,2.7,210,,,350,430,420,490
5,1,8,7,19,49,1.932,1.964,3.496,3.339,2.393,2.491,2.76,2.993,20,460.0,440.0,180,190,250,300
5,1,12,1,65,158,1.083,1.849,3.793,,2.528,2.608,2.656,3.099,460,1230.0,,720,750,790,930
5,2,1,1,78,133,1.797,1.968,,3.725,2.291,2.385,2.575,2.934,180,,1080.0,360,400,450,550
5,2,2,2,75,209,1.336,1.813,3.351,,2.194,2.332,2.585,2.85,700,1620.0,,1040,1170,1250,1340
5,2,3,3,34,102,1.294,1.815,,,1.844,1.97,2.049,2.231,350,,,530,590,610,680
5,2,3,3,106,188,1.222,1.72,,2.93,2.399,2.452,2.545,2.768,510,,960.0,700,720,750,820
5,2,4,4,21,91,1.187,1.506,,,1.971,1.993,2.281,2.481,320,,,530,560,630,700
5,2,10,4,23,86,1.288,1.478,,,1.619,1.692,2.342,2.388,270,,,400,410,580,630
5,2,11,3,34,124,1.352,1.769,,,2.314,2.196,2.241,2.601,380,,,700,720,780,900
5,2,13,2,75,152,1.058,1.553,3.51,,1.791,1.983,2.098,2.53,360,1370.0,,540,610,640,770
5,2,14,1,78,170,1.311,1.589,3.685,3.421,2.103,2.46,2.597,2.93,300,1370.0,1270.0,560,760,800,920
5,2,19,1,133,232,1.263,1.593,,,1.986,2.157,2.262,2.518,520,,,790,870,890,990
5,2,21,14,172,238,1.574,1.8,,,2.004,2.114,2.15,2.543,330,,,520,560,570,660
5,3,2,2,32,123,1.436,1.723,3.299,3.324,2.218,2.46,2.661,3.197,270,960.0,970.0,640,750,800,910
5,3,2,2,123,157,1.55,1.597,3.486,3.045,1.995,2.269,2.02,2.655,70,620.0,520.0,210,270,220,340
5,3,3,3,49,148,1.5,1.863,3.405,3.454,2.368,2.682,2.977,3.405,310,990.0,1010.0,690,860,890,990
5,3,10,2,31,81,1.263,1.443,2.886,3.902,1.999,1.999,2.075,2.441,180,700.0,980.0,390,390,410,500
5,3,10,10,82,136,1.28,1.445,,3.446,1.839,1.987,2.176,2.51,200,,910.0,380,400,470,540
5,3,16,10,82,167,1.188,1.849,3.105,,2.051,2.238,2.381,2.938,480,890.0,,650,700,750,850
5,3,17,2,123,156,1.647,1.688,3.608,3.121,2.082,2.292,2.292,2.655,60,630.0,510.0,210,250,250,330
5,3,20,17,157,208,1.439,1.651,,,1.845,2.023,2.247,2.356,170,,,320,350,400,510
5,3,21,2,157,219,1.281,1.595,2.928,,2.036,2.515,2.469,2.981,180,810.0,,370,540,520,620
5,5,1,1,34,148,1.635,2.359,5.246,5.271,3.106,3.159,3.453,3.978,410,1640.0,1690.0,780,860,1000,1140
5,5,14,1,34,93,1.383,1.881,3.983,4.014,2.38,2.549,2.737,2.963,290,980.0,1010.0,450,490,530,590
5,5,14,14,94,169,1.463,1.882,3.677,3.966,2.096,2.096,2.251,2.496,380,1120.0,1300.0,600,600,650,750
5,5,14,14,169,237,1.383,1.574,,,1.999,2.019,2.019,2.006,380,,,540,610,610,680
6,1,1,1,136,234,1.798,1.969,,,2.291,2.612,2.66,2.969,180,,,460,790,840,980
6,1,2,2,48,97,1.425,1.54,3.652,3.662,1.946,2.12,2.12,2.493,100,1040.0,1050.0,320,380,380,490
6,1,2,2,98,222,1.273,1.763,,,2.172,2.555,2.363,2.909,530,,,840,1120,1040,1240
6,1,12,2,48,102,1.461,1.604,3.261,3.443,2.102,2.089,2.238,2.646,80,840.0,890.0,320,340,420,540
6,1,12,12,98,167,1.307,1.706,3.376,3.714,2.208,2.196,2.439,2.604,340,1080.0,1210.0,510,570,630,690
6,1,12,12,167,237,1.275,1.826,,,2.139,2.275,2.367,2.506,400,,,560,630,660,700
6,2,1,1,83,183,1.729,2.154,3.68,3.625,2.59,2.757,3.22,3.466,400,1090.0,1050.0,720,830,880,1000
6,2,2,2,49,116,1.502,1.977,4.037,,2.275,2.275,2.627,2.915,240,1160.0,,450,450,560,670
6,2,13,2,49,94,1.392,1.527,3.066,3.51,2.019,2.188,2.113,2.47,160,660.0,780.0,340,390,380,450
6,3,1,1,63,109,1.557,1.711,3.909,3.641,2.071,2.156,2.417,2.714,150,960.0,900.0,300,330,390,460
6,3,1,1,107,191,1.383,1.965,,,2.249,2.361,2.619,2.725,510,,,680,710,790,840
6,3,2,2,52,118,1.335,1.538,,,1.918,2.322,2.322,2.579,240,,,430,560,560,660
6,3,12,2,51,119,1.261,1.632,,,2.306,2.374,2.258,2.753,240,,,470,530,510,680
6,3,14,1,62,100,1.423,1.537,,,1.807,2.121,2.121,2.435,120,,,250,300,300,380
6,4,2,2,52,116,1.196,1.503,3.225,,1.799,2.167,2.123,2.483,310,970.0,,490,550,560,640
