Lip,Li,Lb,Ld,Td,Tri1
1.29,1.387,1.416,3.941,212,8
1.103,1.023,1.345,3.562,164,-72
1.035,1.525,1.578,3.466,208,4
1.238,1.142,1.521,3.358,164,-72
1.274,1.252,1.373,3.077,248,-12
1.01,1.073,1.388,3.531,148,-92
1.285,0.995,1.404,3.444,156,-60
1.21,1.153,1.61,3.39,180,-56
1.116,1.193,1.573,3.156,108,-64
1.313,1.213,1.349,3.346,212,-40
1.179,1.353,1.164,3.371,208,40
1.238,1.19,1.61,3.473,172,-64
1.314,1.367,1.345,3.342,172,12
1.166,2.442,2.133,,224,-20
1.21,1.144,1.56,3.231,176,-64
1.294,1.146,1.402,2.916,232,-28
1.077,1.064,1.461,3.053,164,-52
1.077,1.269,1.554,3.683,168,-44
1.206,1.243,1.276,3.752,192,-4
1.289,1.297,1.398,3.249,224,-20
1.139,1.09,1.724,3.876,208,-88
1.318,1.137,1.532,2.835,112,-44
1.103,1.169,1.546,3.697,180,-96
1.13,1.265,1.295,3.523,196,-16
1.148,1.378,1.374,4.373,160,-8
1.255,1.117,1.324,3.379,220,-36
1.041,1.026,1.244,3.101,200,-48
1.259,1.338,1.32,3.72,232,4
1.027,1.049,1.281,4.109,168,-48
1.53,1.635,2.049,3.433,84,-40
1.358,1.515,1.437,3.053,120,-12
1.42,1.247,1.564,3.13,136,-48
1.197,1.288,1.288,3.589,328,0
1.118,1.298,1.542,3.827,204,-28
1.318,1.38,1.78,3.754,132,-52
1.029,1.115,1.463,3.268,136,-64
2.086,1.573,1.496,3.507,264,12
1.562,1.577,1.543,3.195,144,4
1.053,1.075,1.202,3.297,280,-36
1.145,1.295,1.155,2.986,224,36
1.041,1.069,1.389,3.792,224,-48
1.167,1.313,1.566,3.349,144,-44
1.358,1.207,1.463,3.536,144,-32
1.314,1.401,1.373,3.268,208,12
1.118,1.213,1.399,3.623,216,-40
1.243,1.159,1.404,4.449,276,-24
1.093,1.118,1.288,3.167,208,-16
1.102,1.182,1.125,3.325,224,8
1.035,1.279,1.328,3.471,260,12
1.075,1.238,1.311,2.935,204,-12
1.156,1.097,1.401,2.834,156,-56
1.384,1.211,1.678,3.473,112,-64
1.156,1.407,1.847,3.562,156,-44
1.207,1.246,1.3,3.928,296,8
1.039,1.217,1.821,3.39,88,-68
1.384,1.148,1.458,3.197,120,-56
1.17,1.181,1.595,3.266,156,-68
1.008,1.168,1.315,3.245,156,-32
1.075,1.186,1.29,4.171,220,-16
1.093,1.262,1.346,3.243,220,-24
1.205,1.429,1.472,3.455,156,-32
1.227,1.413,1.394,3.771,180,-16
1.008,1.04,1.118,3.047,160,-16
1.319,1.118,1.457,3.565,128,-68
1.146,1.19,1.912,3.395,100,-76
1.026,1.024,1.211,3.094,212,-44
1.032,1.137,1.4,3.276,256,-28
1.389,1.431,1.504,3.328,184,4
1.07,1.367,1.173,3.425,248,20
1.258,1.317,1.777,3.496,104,-52
1.205,1.426,1.605,3.801,168,-48
1.039,0.964,1.551,3.185,116,-72
1.113,1.265,1.509,3.327,224,-60
1.139,1.143,1.551,3.411,276,-84
1.176,1.388,1.665,3.141,148,-48
1.206,1.131,1.158,3.484,212,8
1.025,1.171,1.187,3.865,336,16
